category,order_month,total_orders,total_revenue,average_revenue
Bakery,2026-01,6,735,122.5
Bakery,2026-02,8,2440,305.0
Bakery,2026-03,11,3090,280.9
Bakery,2026-04,13,3115,239.6
Bakery,2026-05,15,3695,246.3
Bakery,2026-06,14,2335,166.8
Dairy & Eggs,2026-01,9,2035,226.1
Dairy & Eggs,2026-02,8,1935,241.9
Dairy & Eggs,2026-03,15,3163,210.9
Dairy & Eggs,2026-04,9,1650,183.3
Dairy & Eggs,2026-05,14,3479,248.5
Dairy & Eggs,2026-06,11,1828,166.2
Fruits & Vegetables,2026-01,12,1290,107.5
Fruits & Vegetables,2026-02,13,2090,160.8
Fruits & Vegetables,2026-03,13,2080,160.0
Fruits & Vegetables,2026-04,14,1400,100.0
Fruits & Vegetables,2026-05,12,1870,155.8
Fruits & Vegetables,2026-06,9,1060,117.8
Household Essentials,2026-01,10,2099,209.9
Household Essentials,2026-02,16,5113,319.6
Household Essentials,2026-03,8,1885,235.6
Household Essentials,2026-04,17,5491,323.0
Household Essentials,2026-05,16,3477,217.3
Household Essentials,2026-06,12,3650,304.2
Personal Care,2026-01,12,3608,300.7
Personal Care,2026-02,8,2177,272.1
Personal Care,2026-03,11,2807,255.2
Personal Care,2026-04,9,1970,218.9
Personal Care,2026-05,13,3045,234.2
Personal Care,2026-06,13,2775,213.5
Snacks & Beverages,2026-01,10,1290,129.0
Snacks & Beverages,2026-02,11,1330,120.9
Snacks & Beverages,2026-03,15,1670,111.3
Snacks & Beverages,2026-04,19,2980,156.8
Snacks & Beverages,2026-05,13,1665,128.1
Snacks & Beverages,2026-06,15,1960,130.7
